Source_CSV,Importance
node3.opaif1.portRcvPkts,5.813951411796802e-09
node0.socket1.rapl-power,1.1241230530233751e-09
node1.opaif1.portRcvPkts,7.158652407526045e-10
node5.opaif1.portRcvData,8.029417286618203e-12
node5.thp_collapse_alloc,6.057828604843217e-12
node0.socket0.rapl-power,0.0
node5.thp_fault_fallback,0.0
node5.socket1.rapl-power,0.0
node5.socket0.rapl-power,0.0
node0.thp_collapse_alloc,0.0
node1.thp_fault_fallback,0.0
node0.thp_fault_fallback,0.0
node1.socket0.rapl-power,0.0
node1.socket1.rapl-power,0.0
node1.thp_collapse_alloc,0.0
node3.thp_zero_page_alloc,0.0
node2.socket1.rapl-power,0.0
node2.thp_fault_fallback,0.0
node4.thp_fault_fallback,0.0
node2.thp_zero_page_alloc,0.0
node4.socket0.rapl-power,0.0
node3.socket0.rapl-power,0.0
node3.socket1.rapl-power,0.0
node3.thp_fault_fallback,0.0
node5.thp_zero_page_alloc,0.0
